Issue key;Issue id;Priority;Status;Updated;Component/s;Component/s;Component/s;Component/s;Component/s;Affects Version/s;Affects Version/s;Affects Version/s;Affects Version/s;Affects Version/s;Affects Version/s;Affects Version/s;Affects Version/s;Affects Version/s;Affects Version/s;Affects Version/s;Affects Version/s;Affects Version/s;Affects Version/s;Fix Version/s;Fix Version/s;Fix Version/s;Fix Version/s;Fix Version/s;Fix Version/s;Fix Version/s;Fix Version/s;Fix Version/s;Fix Version/s;Summary
MDEV-20091;77631;Critical;Closed;2024-07-08 00:47;Replication;;;;;10.1;10.2;10.3;10.4;;;;;;;;;;;10.1.41;10.2.26;10.3.17;10.4.7;;;;;;;DROP TEMPORARY table is logged despite no CREATE was logged
MDEV-20821;79686;Critical;Closed;2024-07-08 00:33;Replication;;;;;10.4;;;;;;;;;;;;;;10.4.12;10.5.1;;;;;;;;;mariadb parallel slave server shutdown hang - v10.4.8
MDEV-21087;80556;Critical;Closed;2024-07-08 00:32;Replication;;;;;10.2;10.3;10.4;10.5;;;;;;;;;;;10.3.36;10.4.26;10.5.17;10.6.9;10.7.5;10.8.4;10.9.2;;;;ER_SLAVE_INCIDENT arrives at slave without failure specifics
MDEV-21443;82144;Critical;Closed;2024-07-08 00:16;Replication;;;;;10.2;10.3;10.4;10.5;;;;;;;;;;;10.3.36;10.4.26;10.5.17;10.6.9;10.7.5;10.8.4;10.9.2;;;;Donot report INCIDENT_EVENT in binary log for transactional changes which are safely rolledback
MDEV-21953;84138;Critical;Closed;2024-07-08 00:14;mariabackup;Replication;;;;10.4.12;;;;;;;;;;;;;;10.4.14;10.5.5;;;;;;;;;deadlock between BACKUP STAGE BLOCK_COMMIT  and parallel replication
MDEV-22530;86801;Critical;Closed;2024-07-08 00:14;Replication;;;;;10.2;10.3.16;10.4.12;;;;;;;;;;;;10.2.39;10.3.30;10.4.20;10.5.11;;;;;;;Aborting OPTIMIZE TABLE still logs in binary log and replicates to the Slave server.
MDEV-23033;88877;Critical;Closed;2024-07-08 00:00;Replication;Virtual Columns;;;;10.2;10.3;10.4;10.4.12;10.5;;;;;;;;;;10.2.37;10.3.28;10.4.18;10.5.9;;;;;;;All slaves crash once in ~24 hours and loop restart with signal 11
MDEV-23610;91209;Critical;Closed;2024-07-07 23:57;Authentication and Privilege System;Replication;;;;10.5.5;;;;;;;;;;;;;;10.5.9;;;;;;;;;;"Slave user can't run ""SHOW SLAVE STATUS"" anymore after upgrade to 10.5, mysql_upgrade should take of that"
MDEV-24617;96026;Critical;Closed;2024-07-07 23:44;Replication;Sequences;;;;10.3;10.4;10.5;10.6;10.7;;;;;;;;;;10.3.35;10.4.25;10.5.16;10.6.8;10.7.4;10.8.3;;;;;OPTIMIZE on a sequence causes unexpected ER_BINLOG_UNSAFE_STATEMENT warning
MDEV-24773;96546;Critical;Closed;2024-07-07 23:44;Replication;;;;;10.3;10.4;10.5;;;;;;;;;;;;10.3.29;10.4.19;10.5.10;;;;;;;;slave_compressed_protocol doesn't work properly with semi-sync replication
MDEV-25277;98335;Critical;Closed;2024-07-07 23:27;Replication;Scripts & Clients;;;;10.3;10.4;10.5;10.6;;;;;;;;;;;10.10.3;10.11.2;10.3.38;10.4.28;10.5.19;10.6.12;10.7.8;10.8.7;10.9.5;;mysqlbinlog --verbose cannot read row events with compressed columns: Don't know how to handle column type: 140
MDEV-25616;99474;Critical;Closed;2024-07-07 23:16;Replication;XA;;;;10.5;10.6;10.7;10.8;10.9;;;;;;;;;;10.5.18;10.6.11;10.7.7;10.8.6;10.9.4;;;;;;"Binlog event for XA COMMIT is generated without matching XA START, replication aborts"
MDEV-25764;99906;Critical;Closed;2024-07-07 23:16;Encryption;Replication;;;;10.2.27;;;;;;;;;;;;;;11.4.1;;;;;;;;;;SELECT binlog_gtid_pos takes a very long time when binary log is encrypted
MDEV-25709;99732;Critical;Closed;2024-07-07 23:16;Replication;;;;;10.2;10.3;10.4;10.5;;;;;;;;;;;11.4.1;;;;;;;;;;" Replication  IO_Thread  Connecting Primary server  handshake  call ""SELECT GTID_BINLOG_POS"" even when MASTER_USE_GITD=NO and GTID is disabled "
MDEV-26473;102220;Critical;Closed;2024-07-07 23:03;Replication;;;;;10.4.18;10.5.12;10.5.15;10.6.7;;;;;;;;;;;10.4.25;10.5.16;10.6.8;10.7.4;10.8.3;;;;;;mysqld got exception 0xc0000005 (rpl_slave_state/rpl_load_gtid_slave_state)
MDEV-27568;107038;Critical;Closed;2024-07-07 22:41;Galera;Replication;;;;10.4.22;10.5.13;10.6.5;;;;;;;;;;;;10.4.25;10.5.16;10.6.8;10.7.4;;;;;;;Parallel async replication hangs on a Galera node
MDEV-27697;107452;Critical;Closed;2024-07-07 22:41;Replication;;;;;10.2;10.3;10.4;10.5;10.6;10.7;10.8;;;;;;;;10.2.44;10.3.35;10.4.25;10.5.16;10.6.8;10.7.4;10.8.3;;;;slave must recogzize incomplete replication event group
MDEV-28294;109775;Critical;Closed;2024-07-07 22:40;Replication;;;;;10.2;10.3;10.4;10.5;10.6.7;10.7;10.8;10.9;;;;;;;10.3.37;10.4.27;10.5.18;10.6.10;10.7.6;10.8.5;10.9.2;;;;set default role bypasses Replicate_Wild_Ignore_Table: mysql.%
MDEV-28487;110636;Critical;Closed;2024-07-07 22:18;Replication;Sequences;;;;10.3;10.4;10.5;10.6;10.7;10.8;;;;;;;;;10.3.36;10.4.26;10.5.17;10.6.9;10.7.5;10.8.4;10.9.2;;;;sequences not respect value of binlog_row_image with select nextval(seq_gen)
MDEV-28709;111443;Critical;Closed;2024-07-07 22:18;Replication;Storage Engine - InnoDB;;;;10.5.16;;;;;;;;;;;;;;10.10.2;10.11.1;10.5.18;10.6.11;10.7.7;10.8.6;10.9.4;;;;unexpected X lock on Supremum in READ COMMITTED
MDEV-28948;112235;Critical;Closed;2024-07-07 22:15;Galera;Replication;;;;10.5.12;10.5.15;;;;;;;;;;;;;10.5.17;10.6.9;10.7.5;10.8.4;10.9.2;;;;;;FLUSH BINARY LOGS waits/hangs on mysql_mutex_unlock(&LOCK_index) forever
MDEV-29639;114967;Critical;Closed;2024-07-07 21:50;Replication;;;;;10.10;10.3;10.4;10.5;10.6;10.7;10.8;10.9;;;;;;;10.10.3;10.11.2;10.3.38;10.4.28;10.5.19;10.6.12;10.7.8;10.8.7;10.9.5;11.0.1;"Seconds_Behind_Master is incorrect for Delayed, Parallel Replicas"
MDEV-29894;116081;Critical;Closed;2024-07-07 21:50;Replication;Stored routines;Triggers;;;10.10.1;10.6;10.6.10;10.7;10.7.6;10.8;10.8.5;10.9;10.9.3;;;;;;10.10.6;10.11.5;10.6.15;10.9.8;11.0.3;11.1.2;;;;;Calling a function from a different database in a slave side trigger crashes
MDEV-30323;117949;Critical;Closed;2024-07-07 21:49;Replication;;;;;10.10;10.2;10.3;10.4;10.5;10.6;10.7;10.8;10.9;;;;;;10.10.3;10.3.38;10.4.28;10.5.19;10.6.12;10.7.8;10.8.7;10.9.5;;;Some DDLs like ANALYZE can complete on parallel slave out of order
MDEV-30430;118371;Critical;Closed;2024-07-07 21:49;Replication;Versioned Tables;;;;10.6.10;;;;;;;;;;;;;;10.10.4;10.11.3;10.4.29;10.5.20;10.6.13;10.8.8;10.9.6;11.0.2;11.1.1;;Enabling system versioning on tables without primary key breaks replication
MDEV-30780;119885;Critical;Closed;2024-07-07 21:48;Replication;;;;;10.10;10.11;10.4;10.5;10.6;10.8;10.9;;;;;;;;10.10.4;10.11.3;10.4.29;10.5.20;10.6.13;10.8.8;10.9.6;;;;parallel slave hangs after hit an error
MDEV-30619;119103;Critical;Closed;2024-07-07 21:39;Replication;;;;;10.10;10.3;10.4;10.5;10.6;10.7;10.8;10.9;;;;;;;10.10.6;10.11.5;10.4.31;10.5.22;10.6.15;10.8.8;10.9.8;11.0.3;11.1.2;11.2.1;Parallel Slave SQL Thread Can Update Seconds_Behind_Master with Active Workers
MDEV-30978;120732;Critical;Closed;2024-07-07 21:37;Replication;XA;;;;10.10;10.11;10.5;10.6;10.7;10.8;10.9;11.0;11.1;;;;;;10.10.6;10.11.5;10.5.22;10.6.15;10.9.8;11.0.3;11.1.2;;;;On slave XA COMMIT/XA ROLLBACK fail to return an error in read-only mode
MDEV-30996;119686;Critical;Closed;2024-07-07 21:37;Full-text Search;Replication;Storage Engine - InnoDB;;;10.10;10.11;10.6;10.7;10.8;10.9;11.0;11.1;;;;;;;10.10.4;10.11.3;10.6.13;10.8.8;10.9.6;11.0.2;11.1.1;;;;insert.. select in presence of full text index freezes all other commits  at commit time
MDEV-31038;121008;Critical;Closed;2024-07-07 21:37;Replication;;;;;10.10;10.11;10.5;10.6;10.7;10.8;10.9;11.0;11.1;;;;;;10.10.4;10.11.3;10.5.20;10.6.13;10.8.8;10.9.6;11.0.2;11.1.1;;;Parallel Replication Breaks if XA PREPARE Fails Updating Slave GTID State
MDEV-31077;121159;Critical;Closed;2024-07-07 21:36;Replication;;;;;10.4;10.6.12;;;;;;;;;;;;;10.10.4;10.11.3;10.4.29;10.5.20;10.6.13;10.8.8;10.9.6;;;;ALTER SEQUENCE may end up in optimistic parallel slave binlog out-of-order
MDEV-31503;122875;Critical;Closed;2024-07-07 21:36;Replication;;;;;10.6.12;;;;;;;;;;;;;;10.10.6;10.11.5;10.4.31;10.5.22;10.6.15;10.8.8;10.9.8;11.0.3;11.1.2;;ALTER SEQUENCE ends up in optimistic parallel slave binlog out-of-order
MDEV-31779;123693;Critical;Closed;2024-07-07 21:36;Replication;Sequences;;;;10.10;10.11;10.4;10.5;10.6;10.9;11.0;11.1;11.2;11.3;11.4;;;;10.11.8;10.5.25;10.6.18;11.0.6;11.1.5;11.2.4;11.3.2;11.4.2;;;Server crash in Rows_log_event::update_sequence upon replaying binary log
MDEV-31833;121931;Critical;Closed;2024-07-07 21:20;Galera;Replication;;;;;;;;;;;;;;;;;;10.10.7;10.11.6;10.5.23;10.6.16;11.0.4;11.1.3;;;;;replication breaks when using optimistic replication and replica is a galera node
MDEV-32096;124819;Critical;Closed;2024-07-07 21:20;Locking;Replication;Storage Engine - InnoDB;;;10.10;10.11;10.6;10.6.0;10.7;10.8;10.9;11.0;11.1;11.2;;;;;10.10.7;10.11.6;10.6.16;11.0.4;11.1.3;;;;;;Parallel replication lags because innobase_kill_query() may fail to interrupt a lock wait
MDEV-32551;125912;Critical;Closed;2024-07-07 21:20;Replication;;;;;10.6;;;;;;;;;;;;;;10.11.7;10.6.17;11.0.5;11.1.4;11.2.3;;;;;;"""Read semi-sync reply magic number error"" warnings on master"
MDEV-33668;128351;Critical;Closed;2024-07-07 21:13;Replication;XA;;;;10.11;10.6;11.0;11.1;11.2;11.3;11.4;11.5;;;;;;;10.11.8;10.6.18;11.0.6;11.1.5;11.2.4;11.3.2;11.4.2;;;;Adapt parallel slave's round-robin scheduling to XA events
MDEV-25607;99438;Critical;Closed;2024-07-06 04:19;Replication;Storage Engine - Memory;;;;10.2;10.3;10.4;10.5;10.6;10.7;10.8;10.9;;;;;;;10.11.9;10.5.26;10.6.19;11.1.6;11.2.5;11.4.3;;;;;Auto-generated DELETE from HEAP table can break replication
MDEV-33465;127931;Critical;Closed;2024-07-06 04:12;Replication;;;;;10.11;10.6;;;;;;;;;;;;;10.11.9;10.6.19;11.1.6;11.2.5;11.4.3;;;;;;an option to enable semisync recovery
MDEV-9312;54906;Critical;Closed;2024-07-02 13:04;Galera;Replication;;;;10.1.9;;;;;;;;;;;;;;10.1.18;;;;;;;;;;storage engine not enforced during galera cluster replication
MDEV-34150;129115;Critical;Closed;2024-06-28 16:38;Replication;;;;;N/A;;;;;;;;;;;;;;11.5.1;;;;;;;;;;Assertion failure in Diagnostics_area::set_error_status upon binary logging hitting tmp space limit
MDEV-32257;125318;Critical;Closed;2024-06-26 11:04;Replication;Storage Engine - InnoDB;;;;N/A;;;;;;;;;;;;;;10.6.16;;;;;;;;;;Assertion `thd->is_killed()' failed in XID_cache_element::acquired_to_recovered (opt) or acquire_xid (dbg) on XA ROLLBACK or XA COMMIT
MDEV-13258;62177;Critical;Closed;2024-06-26 11:04;Replication;Tests;;;;10.2;10.3;10.4;;;;;;;;;;;;10.2.33;10.3.24;10.4.14;10.5.5;;;;;;;"rpl.rpl_skip_replication, rpl.rpl_set_statement_default_master failed in buildbot"
MDEV-23857;92247;Critical;Closed;2024-06-19 13:56;Replication;;;;;10.2;10.3;10.4;10.5;;;;;;;;;;;10.11.9;10.5.26;10.6.19;11.1.6;11.2.5;11.4.3;;;;;replication master password length
